dataset,algorithm,n_samples,n_features,silhouette,calinski_harabasz,davies_bouldin,adjusted_rand
RawFeatures_PCA,KMeans,999,10,0.17651152610778809,181.78710705701704,1.5787015311583956,0.15708607647646497
RawFeatures_PCA,Agglomerative,999,10,0.1775684356689453,159.93629141266484,1.5685282839308239,0.16746922584772872
RawFeatures_PCA,DBSCAN,999,10,,,,0.0
VAE_Latents,KMeans,999,10,0.18065616488456726,150.4395311629289,1.4935874350037104,0.17453123493476808
VAE_Latents,Agglomerative,999,10,0.17148283123970032,126.16008290172539,1.4833191793370113,0.17044674798556464
VAE_Latents,DBSCAN,999,10,-0.2618495225906372,12.054976838319336,1.6539206303207716,0.0026060961245143325
ConvVAE_Latents,KMeans,999,64,0.17573295533657074,436.7374257536915,1.3019780096275975,0.015925908517557392
ConvVAE_Latents,Agglomerative,999,64,0.15221348404884338,402.2535549363438,1.4893294144282332,0.017240073643625255
ConvVAE_Latents,DBSCAN,999,64,0.7100251913070679,78.45347520380872,0.5280576812974778,6.343962366160578e-06
VAE+Lyrics,KMeans,999,42,0.1467677652835846,105.35764665503538,1.7563939338581107,0.19102359160695168
VAE+Lyrics,Agglomerative,999,42,0.10407163202762604,88.60509229226614,1.9271196433060294,0.20826778502710444
VAE+Lyrics,DBSCAN,999,42,,,,0.0
ConvVAE+Lyrics,KMeans,999,96,0.05723994970321655,38.91919301602103,2.8357743101079853,0.3848963314118992
ConvVAE+Lyrics,Agglomerative,999,96,0.04800078272819519,33.82382145268578,2.9675772147571253,0.4697893086206662
ConvVAE+Lyrics,DBSCAN,999,96,,,,0.0
